ID,Odoo version,Module name,Version,Decription,Developed date,Developed by,Customer,Modified
1,8,pos_adv_discount,1,Advaced type of discount for retail business.Currently installed:  A) Percentage off of the product price  B) X products products for the price of Y,2/2/2015,Viktor Vorobjo,La Famosa,
2,8,pos_report_details,1,"This module add a field on the POS Report ""Sales Detail"" where the user can select the POS product Categories",2/10/2015,Viktor Vorobjo,La Famosa,
3,8,pos_merge,1,"In the POS shopping Cart, force similar products to appear in the same line. This is necessary after installing the pos_adv_discount module",2/2/2015,Viktor Vorobjo,La Famosa,
4,8,dbfilter_from_header,1,"    This addon lets you pass a dbfilter as a HTTP header.
    This is interesting for setups where database names can't be mapped to
    proxied host names.
    In nginx, use
    proxy_set_header X-OpenERP-dbfilter [your filter];
    The addon has to be loaded as server-wide module.",2/2/2015,OCA,La Famosa,
5,8,disable_openerp_online,1,"This module deactivates all bindings to openerp.com that
come with the standard code:
* update notifier code is deactivated and the function is overwritten
* apps and updates menu items in settings are hidden inside Tools\Parameters
* help and account menu items in user menu are removed
* prevent lookup of OPW for current database uuid and resulting
  'unsupported' warning",2/2/2015,OCA,La Famosa,
6,8,snap_product,1,Categorize WIC and EBT products in order to pay them with the proper cards,2/17/2015,Viktor Vorobjo,La Famosa,
7,8,pos_product_screen,1,Prevent from product appear on the main screen of the POS. Only inside the categories,2/22/2015,Viktor Vorobjo,La Famosa,
8,8,import_manager,1,Import products masively,3/4/2015,Viktor Vorobjo,La Famosa,
9,8,product_ext_view,1,Modify product view to include price and POS category,3/30/2015,Viktor Vorobjo,La Famosa,
10,8,pos_f_keys,1,Allow to use F9 and the like on the POS buttons,2/1/2015,Ricky Verma,La Famosa,
11,8,pos_scan_ref,1,"Inside the POS, it search by the Reference instead of the Barcode",5/8/2015,Ivan Yelizariev,La Famosa,
12,8,pos_product_screen,2,Allow some products to appear  the main screen,5/8/2015,Viktor Vorobjo,La Famosa,
13,8,pos_decimal_point,2,Automatically put a decimal point after 2 digits have been entered in the payment method,5/11/2015,Viktor Vorobjo,La Famosa,
14,8,pos_report_session,1,Design the 80m session report correcting the Title size,5/14/2015,Viktor Vorobjo,La Famosa,
15,8,qweb_usertime,1,"Fix session to appear in the user time, not in the generic greenwhich time",5/14/2015,Viktor Vorobjo,La Famosa,
16,8,BackUP Daily,1,Automatic backup,5/19/2015,OCA,La Famosa,
17,8,BackUP Daily Housekeeping,1,Automatic backup,5/20/2015,OCA,La Famosa,
18,8,BackUP Yadisk Daily,1,Automatic backup Yandex,5/21/2015,OCA,La Famosa,
19,8,BackUP Yadisk Daily Housekeeping,1,Automatic backup Yandex,5/22/2015,OCA,La Famosa,
20,8,scheduler_error_mailer,1,Communicate errors on automatic actions,5/23/2015,OCA,La Famosa,
