"Internal Reference","DESCRIPTION","PRICE","POS Category"
2484212611,"BUIT ITAL SAUSGE TORTELINI",16.7,"Cold Cuts"
2484212111,"BUIT CHICK & PROSCT TORTLINI",16.7,"Cold Cuts"
2484275149,"BUIT RISRV BEEF/SUAGE RAVIOLI",18.78,"Cold Cuts"
2484282065,"BUIT RISRV CHIK MARS RAVIOLI",18.78,"Cold Cuts"
2484287984,"BUIT RISRV CRAB RAVIOLI",18.78,"Cold Cuts"
2484254271,"BUIT RISRV SHRIMP RAVIOLI",18.78,"Cold Cuts"
7744800155,"RANA RAVIOLI CHICKN",19.07,"Cold Cuts"
7744800161,"RANA TORTLINI PROSCIUTTO",19.07,"Cold Cuts"
4470000865,"O M MEAT BOLOGNA",20.46,"Cold Cuts"
4470000986,"O M COTTO SALAMI",20.46,"Cold Cuts"
4470001090,"O M HARD SALAMI",48.71,"Cold Cuts"
4470001160,"O M CHOPPED HAM",20.69,"Cold Cuts"
4470000878,"O M BEEF BOLOGNA",38.15,"Cold Cuts"
4470000867,"O M MEAT BOLOGNA",23.63,"Cold Cuts"
4470000988,"O M COTTO SALAMI",23.63,"Cold Cuts"
4470000874,"O M MEAT BOLOGNA",29.96,"Cold Cuts"
4470000877,"O M BEEF BOLOGNA",47.39,"Cold Cuts"
4470001910,"O M SMKD COOKED HAM",20.02,"Cold Cuts"
4470001905,"O M BOILED HAM",20.02,"Cold Cuts"
4470006453,"O M HONEY HAM",20.02,"Cold Cuts"
4470000930,"O M N F BOLOGNA",32.34,"Cold Cuts"
4470000885,"O M BEEF BOLOGNA",33,"Cold Cuts"
4470001120,"O M BEEF COTTO SALAMI",33,"Cold Cuts"
4470003054,"OM DELI SHAVED HONY HAM",40.79,"Cold Cuts"
4470003050,"OM DELI SHAVED TURKEY",40.79,"Cold Cuts"
4470003099,"OM DELI SHAVED CHICK",40.79,"Cold Cuts"
4470036001,"O M TURK AMER LUNCH",24.11,"Cold Cuts"
4470036002,"O M BOLOG AMER LUNCH",24.11,"Cold Cuts"
4470036114,"O M CHS PIZZA LUNCH",23.5,"Cold Cuts"
4470036116,"O M TURK CHED W/JELLO",23.5,"Cold Cuts"
4470036117,"O M HAM CHED W/PUDD",23.5,"Cold Cuts"
4470000674,"O M TURK AMER LUNCH",23.5,"Cold Cuts"
4470036113,"O M PEP PIZZA LUNCH",23.5,"Cold Cuts"
4470000680,"O M CHICK DUNKS LUNCH",23.5,"Cold Cuts"
4470036115,"O M BOLOG AMER LUNCH",23.5,"Cold Cuts"
4470000677,"O M HAM AMER LUNCH",23.5,"Cold Cuts"
4470000679,"O M NACHO LUNCH",23.5,"Cold Cuts"
4470036123,"O M BBQ CHICK LUNCH",23.5,"Cold Cuts"
4470007505,"O M BEEF FRANKS",45.28,"Cold Cuts"
4470000063,"O M WEINERS",31.55,"Cold Cuts"
4470000053,"O M CHEESE DOGS",45.28,"Cold Cuts"
4470001988,"O M BACON",143.88,"Cold Cuts"
4470001976,"O M BACON",36.14,"Cold Cuts"
4470001991,"O M LO SOD BACON",71.94,"Cold Cuts"
4470001990,"O M THICK SL BACON",71.94,"Cold Cuts"
7187154668,"L R TURKEY BOLOGNA",22.31,"Cold Cuts"
7187154464,"L R TURKEY FRANKS",27.06,"Cold Cuts"
7187154860,"L R TURKEY BACON",39.9,"Cold Cuts"
7187154839,"L R N F VARIETY",32.87,"Cold Cuts"
7187154622,"L R VARIETY PACK",32.87,"Cold Cuts"
7495618240,"H N MGT SALAMI",63.17,"Cold Cuts"
7495618054,"H N RF FRANKS",45.24,"Cold Cuts"
7495618266,"H N FRANKS",45.24,"Cold Cuts"
5450010175,"BALLPRK BEEF FRANKS",45.54,"Cold Cuts"
3390000070,"JONES BRUNSWEIGER",20.99,"Cold Cuts"
3390000074,"JONES SL BRUNSCHWEIGER",24.42,"Cold Cuts"
3390000085,"JONES CAN BACON",45.58,"Cold Cuts"
7740010832,"BUDDIG HAM TUB P3.49",16.46,"Cold Cuts"
7740010834,"BUDDIG CORNED BEEF TUB P3.49",16.46,"Cold Cuts"
7740010831,"BUDDIG BEEF TUB P3.49",16.46,"Cold Cuts"
7740010835,"BUDDIG CHICK TUB P3.49",16.46,"Cold Cuts"
7740010837,"BUDDIG HONEY HAM TUB P3.49",16.46,"Cold Cuts"
7740010838,"BUDDIG HONEY RST TURK TUB P3.49",16.46,"Cold Cuts"
7740010839,"BUDDIG OVN RST TURK TUB P3.49",16.46,"Cold Cuts"
7740010833,"BUDDIG TURK TUB P3.49",16.46,"Cold Cuts"
7740010840,"BUDDIG MESQUTE TURK TUB P3.49",16.46,"Cold Cuts"
3760048669,"HORMEL PEPPERONI SL",18.35,"Cold Cuts"
7175501094,"KUN RED ROSE MEAT FRANKS",17.34,"Cold Cuts"
