"Internal Reference","DESCRIPTION","PRICE","POS Category"
1630016569,"FL NAT RR GFT",22.01,"Dairy"
1630016564,"FL NAT ORG JC CTN",22.01,"Dairy"
1630016565,"FL NAT HOMSTYL OJ",22.01,"Dairy"
1630016567,"FL NAT OJ w/CALC",22.01,"Dairy"
1630016566,"FL NAT HOME/CAL",22.01,"Dairy"
2500004670,"MM PURE SQUEZED ORIG OJ",17.77,"Dairy"
2500004673,"MM PURE SQUEZED CALC OJ",17.77,"Dairy"
3961441280,"NAT CNTRY PREM OJ",17.51,"Dairy"
3961442181,"NAT CNTRY OJ W/CALC",17.51,"Dairy"
2362756041,"SUPER A PREM OJ",17.7,"Dairy"
2362756043,"SUPER A PREM CNTRY OJ",17.7,"Dairy"
2362756039,"SUPER A PREM W/CAL OJ",17.7,"Dairy"
2500005437,"SIMPLY ORANGE W/MANGO",17.71,"Dairy"
2500005438,"SIMPLY ORANGE W/PINE",17.71,"Dairy"
2500004628,"SIMPLY CRANBERRY JC",17.71,"Dairy"
2500005074,"SIMPLY ORANGE W/BAN JC",17.71,"Dairy"
2500005077,"SIMPLY ORANGE w/TANG JC",17.71,"Dairy"
2500005542,"SIMPLY ORANGE ORIG",17.71,"Dairy"
2500005450,"SIMPLY GRFT",17.71,"Dairy"
2500005543,"SIMPLY ORANGE W/CAL",17.71,"Dairy"
2500005573,"SIMPLY APPLE JC",17.71,"Dairy"
5360011000,"TREE RIPE OJ CTN",15.45,"Dairy"
5360011002,"TREE RIPE OJ W/EXTRA CALC",15.45,"Dairy"
4850030842,"TROP PREM ORG STR BAN",17.24,"Dairy"
4850030102,"TROP PREM ORIG OJ",17.24,"Dairy"
4850030139,"TROP PREM HOMSTYL OJ",17.24,"Dairy"
4850030414,"TROP PREM GROVSTND OJ",17.24,"Dairy"
4850030766,"TROP PREM ORG PINE",17.24,"Dairy"
4850030784,"TROP PREM OJ GRVSTND W/CAL",17.24,"Dairy"
4850030569,"TROP PREM OJ W/CAL",17.24,"Dairy"
4850030570,"TROP PREM OJ ANTI-OXIDANT",17.24,"Dairy"
4850030922,"TROP PREM OJ LOW ACID",17.24,"Dairy"
4850030673,"TROP PREM ORG TANG",17.24,"Dairy"
4850030954,"TROP PREM HEALTHY KIDS OJ",17.24,"Dairy"
4850030955,"TROP HEALTHY HERT/OMEGA 3",17.24,"Dairy"
4850030111,"TROP PREM GRPFRT",17.24,"Dairy"
4850030122,"TROP PREM R/R GRPFRT",17.24,"Dairy"
4850002013,"TROP 50 OJ REG",17.24,"Dairy"
4850002014,"TROP 50 OJ W/SOME PULP",17.24,"Dairy"
4850002015,"TROP 50 OJ W/CALC",17.24,"Dairy"
4850002016,"TROP 50 PINE MANGO",17.24,"Dairy"
4850002017,"TROP 50 POMOGRNTE BLUE",17.24,"Dairy"
4850002018,"TROP 50 APPLE JC",17.24,"Dairy"
4850002086,"TROP 50 RED ORANGE ",17.24,"Dairy"
2362751000,"COMPARE OJ CTN",13.39,"Dairy"
1630016016,"G PRIDE CONC OJ",14.55,"Dairy"
1630016018,"G PRIDE CONC OJ W/CALC",14.55,"Dairy"
3246324707,"HOMEMAKER PREM OJ",17.2,"Dairy"
2500004786,"MM OJ CTN",22.73,"Dairy"
2500004792,"MM OJ W/CAL CTN",22.73,"Dairy"
2362756067,"SUPER A OJ CTN",13.39,"Dairy"
2362756083,"SUPER A CNTRY OJ PULP",13.39,"Dairy"
4850000572,"TROP OJ FROM CONCNTRATE",18.75,"Dairy"
2066210183,"NEWMAN'S POMGRNTE LEMON",14.3,"Dairy"
2066210125,"NEWMAN'S PINK LEMONADE",14.3,"Dairy"
2066210128,"NEWMAN'S LEMON ICED TEA",14.3,"Dairy"
2066210136,"NEWMAN'S GORILA GRAPE",14.3,"Dairy"
2066210126,"NEWMAN'S LEMONADE",14.3,"Dairy"
2500005425,"SIMPLY LIMEADE ",12.94,"Dairy"
2500005426,"SIMPLY LEMONADE",12.94,"Dairy"
2500004830,"SIMPLY LEMONADE W/MANGO",12.94,"Dairy"
2500005466,"SIMPLY RASP LEMONADE",12.94,"Dairy"
2500004893,"SIMPLY LEMONDE w/BLUEBRY",12.94,"Dairy"
4850002032,"TROP 50 LEMONADE",14.42,"Dairy"
4850002033,"TROP 50 RASP LEMONADE",14.42,"Dairy"
1630016574,"FL NAT ORIG OJ 89oz",23.01,"Dairy"
1630016576,"FL NAT W/CAL OJ 89oz",23.01,"Dairy"
2500005433,"SIMPLY OJ 89oz",34.66,"Dairy"
4850001833,"TROP OJ 89oz",30.8,"Dairy"
4850001829,"TROP OJ W/SOME PULP 89oz",30.8,"Dairy"
4850001830,"TROP OJ W/CALC 89oz",30.8,"Dairy"
2500005276,"SIMPLY LEMONADE 89oz",18.66,"Dairy"
2500005278,"SIMPLY RASP LEMNADE 89oz",18.66,"Dairy"
4850002073,"TROP ORG JC",29.46,"Dairy"
4850002074,"TROP ORNGE JC w/CALC",29.46,"Dairy"
8390000536,"GOLD PEAK SWET BLCK TEA",11.68,"Dairy"
8390000537,"GOLD PEAK LEMON TEA",11.68,"Dairy"
8390000538,"GOLD PEAK DIET TEA",11.68,"Dairy"
8390000574,"GOLD PEAK UNSWET BLCK TEA",11.68,"Dairy"
8390000629,"GOLD PEAK SWET GREN TEA",11.68,"Dairy"
8390000654,"GOLD PEAK LEMONADE TEA",11.68,"Dairy"
4900006333,"GOLD PEAK RASP TEA",11.68,"Dairy"
4850002113,"DOLE PINEAPPLE",15.2,"Dairy"
4850002114,"DOLE PINE ORANGE",15.2,"Dairy"
4850002115,"DOLE PINE ORANGE BAN",15.2,"Dairy"
4850002109,"DOLE STR KIWI",15.2,"Dairy"
4850002110,"DOLE PINA COLADA",15.2,"Dairy"
4850002111,"DOLE ORANGE STR BAN",15.2,"Dairy"
4850002112,"DOLE ORNGE PEACH MANGO",15.2,"Dairy"
4850002108,"DOLE PARADISE BLEND",15.2,"Dairy"
5360010313,"EARTH WISE POMEGRNTE BLUE",12.08,"Dairy"
5360010314,"EARTH WISE WATERMELON",12.08,"Dairy"
5360010316,"EARTH WISE ORG CAROT MANGO",12.08,"Dairy"
2362756051,"SUPER A PINE ORANGE JC",13.83,"Dairy"
4850002150,"TROP FARMSTD STR BAN JC",17.24,"Dairy"
4850002151,"TROP FARMSTD PEACH MANGO JC",17.24,"Dairy"
4850002152,"TROP FARMSTD POMGRNTE BLUE JC",17.24,"Dairy"
4850020026,"TROP ORG STR BAN CTN",18.88,"Dairy"
4850020231,"TROP ORG PINE CTN",18.88,"Dairy"
4850020219,"TROP ORG PEACH MANG CTN",18.88,"Dairy"
4180040126,"WELCH GRAPE",19.03,"Dairy"
4180040124,"WELCH FRUIT MANGO ",19.03,"Dairy"
4180040132,"WELCH WHITE GRAPE PEACH",19.03,"Dairy"
4180040129,"WELCH STRAW BREEZE",19.03,"Dairy"
4180040141,"WELCH STAR FRUIT KIWI",19.03,"Dairy"
4180040130,"WELCH STR PEACH",19.03,"Dairy"
4180040136,"WELCH MOUNTAIN BERY",19.03,"Dairy"
4180040128,"WELCH MANGO TWIST",19.03,"Dairy"
4180040131,"WELCH BERY PINE PASS FRUIT",19.03,"Dairy"
4180040133,"WELCH GUAVA PINE",19.03,"Dairy"
4180040127,"WELCH PASS FRUIT ",19.03,"Dairy"
4180040134,"WELCH TROP CHERRY",19.03,"Dairy"
3961444104,"NAT CNTRY GUAVA NECTAR",10.16,"Dairy"
3961444105,"NAT CNTRY ORG MANGO NECTAR",10.16,"Dairy"
3961444103,"NAT CNTRY PEAR NECTAR",10.16,"Dairy"
3961444100,"NAT CNTRY MANGO NECTAR",10.16,"Dairy"
5360010211,"SSIPS GUAVA NECTAR",9.5,"Dairy"
5360010214,"SSIPS STR BAN NECTAR",9.5,"Dairy"
5360010213,"SSIPS ORG MANGO NECTAR",9.5,"Dairy"
5020058100,"SUNNY D TANGY ORIG",6.7,"Dairy"
5020001373,"SUN DEL MIX PALLET ORIG/CALI",480,"Dairy"
2362756066,"SUPER A PASSION FRUIT",13.55,"Dairy"
5020000880,"SUNNY D TANGY ORIG",10.64,"Dairy"
5020000322,"SUNNY D CALIF SMOOTH",10.64,"Dairy"
5020055620,"SUNNY D ORG PINE",11.89,"Dairy"
5020001450,"SUNNY D FRUIT PUNCH",11.89,"Dairy"
5020055210,"SUNNY D ORG PEACH",11.82,"Dairy"
5020055410,"SUNNY D ORG STR",11.82,"Dairy"
5020055610,"SUNNY D ORG PINE ",11.82,"Dairy"
5020000330,"SUNNY D CALIF SMOOTH",11.82,"Dairy"
5020000821,"SUNNY D TANGY ORIG",11.82,"Dairy"
5020006874,"SUNNY D MANGO",11.82,"Dairy"
5020001310,"SUNNY D TANGY ORIG",16.22,"Dairy"
5020001311,"SUNNY D CALIF SMOOTH",16.22,"Dairy"
5020001308,"SUNNY D TANGY ORIG 24pk",6.8,"Dairy"
5020001309,"SUNNY D CALIF SMOOTH 24PK",6.8,"Dairy"
5020001535,"SUNNY D ORIG SPORT CAP 6pk ",11.66,"Dairy"
5020001921,"SUNNY D LEMONADE",9.12,"Dairy"
5020001922,"SUNNY D RASP LEMONADE",9.12,"Dairy"
5020001923,"SUNNY D CHERY LIMEADE",9.12,"Dairy"
5020001924,"SUNNY D WATERMELON",9.12,"Dairy"
5020001925,"SUNNY D GRAPE",9.12,"Dairy"
5020001926,"SUNNY D PEACH",9.12,"Dairy"
9518883000,"TAMPICO PEACH ",6.8,"Dairy"
9518814301,"TAMPICO BLUE RASP",6.8,"Dairy"
9518801128,"TAMPICO CITRUS GAL",6.8,"Dairy"
9518803128,"TAMPICO TROPICAL GAL",6.8,"Dairy"
9518802128,"TAMPICO MANGO GAL",6.8,"Dairy"
9518807128,"TAMPICO KIWI STR GAL",6.8,"Dairy"
9518806128,"TAMPICO ISLAND PUNCH",6.8,"Dairy"
2500004745,"BRIGHT & EARLY GRAPE",6.8,"Dairy"
2500004738,"BRIGHT & EARLY APPLE",6.8,"Dairy"
2500004808,"BRIGHT & EARLY ORANGE",6.8,"Dairy"
3246311131,"HOMEMAKER FRT PUNCH",8.86,"Dairy"
3246341134,"HOMEMAKER GRAPE PUNCH",8.86,"Dairy"
3246321132,"HOMEMAKER TROP PUNCH",8.86,"Dairy"
