"Interal Reference","Description","Retail","POS Category"
"04133101103","EXTRA VIRGIN OLIVE OIL  3 OZ",1.69,"Grocery"
"04133101105","EXTRA VIRGIN OLIVE OIL  8.5 OZ",2.69,"Grocery"
"04133101107","EXTRA VIRGIN OLIVE OIL 17 OZ",5.99,"Grocery"
"04133101109","EXTRA VIRGIN OLIVE OIL 34 OZ",10.59,"Grocery"
"04133101111","EXTRA VIRGIN OLIVE OIL 50.7 OZ",15.59,"Grocery"
"04133101120","EXTRA VIRGIN OLIVE OIL 24 OZ",8.99,"Grocery"
"04133101128","EXTRA VIRGIN OLIVE OIL 3 LTS",34.69,"Grocery"
"04133101130","GOYA UNICO XTRA VIRGIN OLV OIL",8.69,"Grocery"
"04133101141","PURO OLIVE OIL   8.5 OZ",2.49,"Grocery"
"04133101142","PURO OLIVE OIL   17 OZ",5.39,"Grocery"
"04133101154","LIGHT PURE OLIVE OIL  8.5 OZ",2.49,"Grocery"
"04133101158","LIGHT PURE OLIVE OIL  17 OZ",5.39,"Grocery"
"04133101159","GOYA LIGHT OLIVE OIL 9/34 OZ.",9.19,"Grocery"
"04133101227","PURE CORN OIL   16 OZ",1.99,"Grocery"
"04133101229","PURE CORN OIL   24 OZ",2.79,"Grocery"
"04133101231","PURE CORN OIL  48 OZ",4.49,"Grocery"
"04133101232","PURE CORN OIL  1/2 GAL",5.99,"Grocery"
"04133101233","PURE CORN OIL  1 GAL",9.89,"Grocery"
"04133101234","PURE CORN OIL  96 OZ",7.89,"Grocery"
"04133101235","VEGETABLE OIL  16 OZ",1.89,"Grocery"
"04133101237","VEGETABLE OIL  24 OZ",2.59,"Grocery"
"04133101239","VEGETABLE OIL  48 OZ",4.19,"Grocery"
"04133101240","VEGETABLE OIL  96 OZ",7.29,"Grocery"
"04133101241","VEGETABLE OIL  1 GAL",8.99,"Grocery"
"04133101250","CANOLA OIL   48 OZ",4.29,"Grocery"
"04133101304","PERDIGON OLIVES    24/9.5 OZ",1.49,"Grocery"
"04133101307","MANZANILLA OLIVES",1.19,"Grocery"
"04133101309","MANZANILLA OLIVES  9.5 OZ",1.89,"Grocery"
"04133101312","PERDIGON OLIVES    20 OZ",2.79,"Grocery"
"04133101317","COCKTAIL PITTED OLIVES",1.09,"Grocery"
"04133101319","COCKTAIL PITTED OLIVES 5.5. OZ",1.79,"Grocery"
"04133101327","STUFF MANZANILLA OLVES",1.39,"Grocery"
"04133101331","STUFF MANZANILLA OLIVES 9.5 OZ",2.29,"Grocery"
"04133101332","STUFF MANZANILLA OLVES 20 OZ",4.39,"Grocery"
"04133101333","STUFFED QUEEN OLIVES",2.49,"Grocery"
"04133101335","STUFFED QUEEN OLIVES 9 OZ",4.99,"Grocery"
"04133101337","STUFF QUEEN OLIV W/MINCED PIM",10.39,"Grocery"
"04133101341","GOYA MANZANILLAS RELLENAS 24",1.59,"Grocery"
"04133101351","JUMBO OLIVES",1.99,"Grocery"
"04133101353","JUMBO OLIVES    9.5 OZ",3.89,"Grocery"
"04133101368","REDUCED SODIUM CAPERS CAPOTES",1.99,"Grocery"
"04133101370","SPAN NONPAREILS-CAPERS 2.5 OZ",2.89,"Grocery"
"04133101373","SPANISH CAPERS - ALCAPARR",1.99,"Grocery"
"04133101375","SPANISH CAPERS-ALCAPARR 3.25 O",2.59,"Grocery"
"04133101377","SPANISH CAPERS-ALCAPARR 4.25 O",3.29,"Grocery"
"04133101417","ALCAPARRADO PITTED  7 OZ",1.99,"Grocery"
"04133101419","ALCAPARRADO PITTED  9.5 OZ",2.49,"Grocery"
"04133101421","GOYA ALCAPARRADO PITTED",4.69,"Grocery"
"04133101425","CAPERS OLIVES W/PIM 3 1/4 OZ",1.09,"Grocery"
"04133101427","CAPERS OLIVES W/PIM 4 1/4 OZ",1.39,"Grocery"
"04133101429","CAPERS OLIVES W/PIM 10 OZ",2.19,"Grocery"
"04133101431","CAPERS OLIVES W/PIM 20 OZ",3.99,"Grocery"
"04133101460","SLICED GREEN OLIVES 24/5.75",1.49,"Grocery"
"04133101461","SLICED BLK RIPE OLIVES 24/5.75",1.89,"Grocery"
"04133101465","CAPERS OLIVES W/PIM 8 OZ",1.79,"Grocery"
"04133101467","MANZANILLA OLIVES 6 3/4 OZ",1.49,"Grocery"
"04133101469","STUFF MANZANILLA OLV 6 3/4 OZ",1.89,"Grocery"
"04133101473","JUMBO OLIVES 6 1/2 OZ",2.89,"Grocery"
"04133101475","STUFFED QUEEN OLIVES 6 1/2 OZ",3.69,"Grocery"
"04133101477","SALAD OLIVES 7 OZ",1.99,"Grocery"
"04133101478","SALAD OLIVES  20 OZ",4.69,"Grocery"
"04133101479","SALAD OLIVES 9.5 OZ",2.39,"Grocery"
"04133101480","GOYA JUMBO SALAD OLIVES 24/7OZ",1.99,"Grocery"
"04133101484","ACEITUNA BOTIJA-PERUVIAN",5.39,"Grocery"
"04133101485","ACEITUNA BOTIJA PERUVIAN",3.29,"Grocery"
"04133101489","MANZANILLA STUFF SALMON 5.25OZ",2.29,"Grocery"
"04133101490","MANZANILLA STUFF TUNA 5 1/4 OZ",2.29,"Grocery"
"04133101491","MANZANILLA STUFF ACHOVY 5.25OZ",2.29,"Grocery"
"04133101492","MANZANI. STUFF HOT PMTO 5.25OZ",2.29,"Grocery"
"04133101494","SMALL RIPE BLACK OLIVES 6 OZ",2.19,"Grocery"
"04133101495","LARGE RIPE BLACK OLIVES PITTED",2.19,"Grocery"
"04133101510","RED. SOD. MANZANILLA OLIVES",1.59,"Grocery"
"04133101511","RED. SOD. STUFF OLIVE PIMIENTO",1.99,"Grocery"
"04133101512","RED. SOD. PITTED ALCAP. OLIVE",1.89,"Grocery"
"04133101513","RED SOD BROKEN MAN OLIVE W/PIM",1.89,"Grocery"
"04133101518","RED. SOD. STUFF OLIVE JALAPENO",2.19,"Grocery"
"04133101685","JALAPENO PEPPERS 12 OZ",2.29,"Grocery"
"04133112001","GREEN PIGEON PEAS 15 OZ",1.69,"Grocery"
"04133102002","GREEN PIGEON PEAS LOW SODIUM",1.69,"Grocery"
"04133102003","GREEN PIGEON PEAS 29 OZ",3.19,"Grocery"
"04133102004","GREEN PIGEON PEAS 6/100.7 OZ",9.99,"Grocery"
"04133102005","GANDULES CON COCO 15.5 OZ",1.69,"Grocery"
"04133102006","GANDULES VERDES CON COCO 12/30",3.19,"Grocery"
"04133102018","TUPI GREEN PIGEON PEAS 16 OZ",1.39,"Grocery"
"04133112021","EL JIB DRY PIGEON PEAS 15.5 OZ",1.49,"Grocery"
"04133102022","EL JIB PIGEON PEAS  29 OZ",2.89,"Grocery"
"04133102023","JIBARITO GANDULES CON COCO",1.49,"Grocery"
"04133112025","DRY PIGEON PEAS 15.5 OZ",1.49,"Grocery"
"04133102026","DRY PIGEON PEAS 29 OZ",2.89,"Grocery"
"04133102043","REDUCED SODIUM BLACK BEAN SOUP",1.19,"Grocery"
"04133102051","RED KIDNEY BEANS GUISADAS 15OZ",1.19,"Grocery"
"04133102052","SMALL RED BEANS GUISADAS 15 OZ",1.19,"Grocery"
"04133102054","GANDULES GUISADOS 15 OZ",1.59,"Grocery"
"04133102055","PINK BEANS GUISADAS 15 OZ",1.19,"Grocery"
"04133102059","WHITE BEANS GUISADAS 15 OZ",1.39,"Grocery"
"04133102062","PINTO BEANS GUISADAS 15 OZ",1.19,"Grocery"
"04133102063","CHICK PEAS GUISADAS 15 OZ",1.39,"Grocery"
"04133102067","BLACK BEAN SOUP 15 OZ",1.19,"Grocery"
"04133102071","FRIJOLES ANTIOQUENOS",1.29,"Grocery"
"04133102072","FRIJOLES CHARROS",.89,"Grocery"
"04133102073","FRIJOLES DE OLLA",.89,"Grocery"
"04133102076","RED KIDNEY BEANS GUISADAS 29OZ",2.59,"Grocery"
"04133102077","GOYA PINK BEANS GUISADAS 29 OZ",2.59,"Grocery"
"04133102078","GOYA GUISADAS BLANCAS 29 OZ",2.59,"Grocery"
"04133102079","GOYA GUISADAS PINTAS 29 OZ",2.59,"Grocery"
"04133102080","GOYA CHICK PEAS GUISADAS 29 OZ",2.59,"Grocery"
"04133102081","GOYA BLACK BEANS GUISADAS 29OZ",2.59,"Grocery"
"04133102089","YUCA 28 OZ",3.39,"Grocery"
"04133102090","PANA DE PEPITA  8 OZ",1.09,"Grocery"
"04133102091","YUCA 14 OZ.",1.89,"Grocery"
"04133102101","GUAVA JELLY 17 OZ",3.29,"Grocery"
"04133102103","STRAWBERRY PRESERVES 17 OZ",3.29,"Grocery"
"04133102104","GRAPE JELLY 12/17 OZ",3.29,"Grocery"
"04133102105","GOYA MANGO JAM 17 OZ",3.29,"Grocery"
"04133102106","PINEAPPLE PRESERVES 17 OZ",3.29,"Grocery"
"04133102107","PASSION FRUIT JAM 17 OZ",3.79,"Grocery"
"04133102118","PAPAYA JAM 17 OZ",3.29,"Grocery"
"04133102123","BREVAS EN ALMIBAR (FIGS) 20 OZ",4.19,"Grocery"
"04133102125","GOYA GUAVA MARMALADE SQUEEZE",3.09,"Grocery"
"04133102126","GOYA MANGO MARMALADE SQUEEZE",3.09,"Grocery"
"04133102127","GOYA STRAWBERRY MARMALADE SQUZ",3.79,"Grocery"
"04133102128","GOYA GRAPE JELLY SQUEEZE",3.09,"Grocery"
"04133102131","SANCOCHO   15 OZ",1.39,"Grocery"
"04133102133","MONDONGO 15 OZ",2.79,"Grocery"
"04133102134","BAKED BEANS ORIGINAL 16 OZ.",1.69,"Grocery"
"04133102135","BAKED BEANS VEGETARIAN 16 OZ.",1.69,"Grocery"
"04133102136","BAKED BEANS CHIPOTLE 16 OZ.",1.69,"Grocery"
"04133102137","BAKED BEANS JALAPENO BLACK BN",1.69,"Grocery"
"04133102138","MONDONGO DOMINICANO 15 OZ",2.79,"Grocery"
"04133102140","GOYA HOGAO 12/17.1 OZ",2.79,"Grocery"
"04133102142","GOYA AJI DULCE 12/8.8 OZ.",2.89,"Grocery"
"04133102145","CHIMICHURRI STEAK SAUCE 12/7.5",3.69,"Grocery"
"04133102146","SOFRITO 12 OZ",1.79,"Grocery"
"04133102147","SOFRITO DE CEBOLLA 6.7 OZ.",1.69,"Grocery"
"04133102148","SOFRITO 6 OZ",1.49,"Grocery"
"04133102149","SOFRITO  24 OZ",3.99,"Grocery"
"04133102150","RECAITO  24 OZ",3.99,"Grocery"
"04133102151","RECAITO  6 OZ",1.49,"Grocery"
"04133102152","RECAITO  12 OZ",1.79,"Grocery"
"04133102153","GOYA LIQUIDO SZN         15 OZ",1.69,"Grocery"
"04133102154","GOYA LIQUIDO SZN  30 OZ",2.99,"Grocery"
"04133102155","GOYA LIQUIDO HOT SZN 15 OZ",1.69,"Grocery"
"04133102156","GOYA LIQUIDO HOT SZN  30 OZ",2.99,"Grocery"
"04133102159","PINA COLADA MIX 12 OZ",1.69,"Grocery"
"04133102161","COCO GOYA 8 3/4 OZ",1.59,"Grocery"
"04133102163","COCO GOYA 15 OZ",2.09,"Grocery"
"04133102164","COCONUT MILK 13.5 Z",1.49,"Grocery"
"04133102165","GOYA COCONUT MILK LIGHT",1.59,"Grocery"
"04133102166","CREAM OF COCONUT SHIPPER",2.09,"Grocery"
"04133102168","COCONUT MILK 25.5 OZ",2.79,"Grocery"
"04133102169","HABICHUELAS CON DULCE 24/15.5",1.49,"Grocery"
"04133102172","CREMA DE COCO SQUEEZE 16 OZ.",3.29,"Grocery"
"04133102195","COCONUT WATER 13.5 OZ.",1.69,"Grocery"
"42696702250","BLACK BEANS 500 GRAMS",.00,"Grocery"
"04133112330","RED KIDNEY LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112331","PINK BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112332","BLACK BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112333","CHICK PEAS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112334","PINTO BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112335","SMALL WHT BNS LOW SODIUM 15.5",.99,"Grocery"
"04133102340","ORGANIC RED KIDNEY 24/15.5 OZ",1.29,"Grocery"
"04133102342","ORGANIC BLACK BEANS 24/15.5 OZ",1.49,"Grocery"
"04133102344","ORGANIC CHICK PEAS 24/15.5 OZ",1.29,"Grocery"
"04133102345","DK RED KIDNY LOW SODIUM",1.19,"Grocery"
"04133102347","CANNED PINTO BEANS 47 OZ.",2.69,"Grocery"
"04133102348","CANNED RED KIDNEY BEANS 47 OZ.",2.69,"Grocery"
"04133102349","CANNED CHICK PEAS BEANS 47 OZ.",2.69,"Grocery"
"04133102350","CANNED PINK BEANS 47 OZ.",2.69,"Grocery"
"04133102351","CANNED SMALL WHITE BEANS 47 OZ",2.69,"Grocery"
"04133102352","CANNED SMALL RED BEANS 47 OZ.",2.69,"Grocery"
"04133102353","CANNED BLACK BEANS 47 OZ",2.69,"Grocery"
"04133102361","HAB COLORADAS-LOW SODIUM",7.99,"Grocery"
"04133102362","HAB ROSADAS-LOW SODIUM",7.99,"Grocery"
"04133102363","GARBANZOS-LOW SODIUM 12/29 OZ",7.99,"Grocery"
