"Internal Reff","Name","Price","POS Category"
0,"50 HOUR ASST CANDLES GLASS                   ",1.29,"Grocery"
0,"PACKERS LABEL TONGOL TUNA WATER              ",16.39,"Grocery"
9345029,"MASSEL BOUILLON CUBES CHICKEN 7CT            ",0.89,"Grocery"
9345030,"MASSEL BOUILLON CUBES VEGTBLE 7CT            ",0.89,"Grocery"
9345039,"MASSEL BOUILLON CUBES BEEF 7CT               ",0.89,"Grocery"
149003916,"PEPTO BISMOL LIQUID                          ",8.09,"Grocery"
149003929,"PEPTO BISMOL LIQUID MAX                      ",6.89,"Grocery"
149003990,"PEPTO BISMOL CAPLETS                         ",5.79,"Grocery"
438810486,"BLISTEX LIP MEDEX                            ",1.39,"Grocery"
438821021,"BLISTEX MEDICATED LIP OINTMNT                ",2.29,"Grocery"
438880246,"BLISTEX MEDICATED LIP BALM                   ",1.59,"Grocery"
672000248,"EXCEDRIN EXTRA STRENGTH CAPLETS              ",4.99,"Grocery"
702016127,"WAGGIN' TRAIN SMOKY JERKY CHICKEN            ",11.29,"Grocery"
834612179,"SLIM FAST RTD 3-2-1 VANILLA 4PK              ",8.09,"Grocery"
834612200,"SLIM FAST RTD 3-2-1 STRAW/CREAM 4PK          ",8.09,"Grocery"
834612204,"SLIM FAST RTD 3-2-1 MILK CHOC 4PK            ",8.09,"Grocery"
869245210,"SWAN CASTOR OIL                              ",1.39,"Grocery"
930000007,"MT OLIVE SWEET RELISH                        ",2.19,"Grocery"
930000011,"MT OLIVE JALAPENO SLICES                     ",2.49,"Grocery"
930000044,"MT OLIVE SWEET RELISH                        ",2.89,"Grocery"
930000080,"MT OLIVE KOSHER DILL STRIPS                  ",3.69,"Grocery"
930000085,"MT OLIVE KOSHER BABY DILLS                   ",3.69,"Grocery"
930000101,"MT OLIVE HOT BANANA PEPPER                   ",2.49,"Grocery"
980000071,"FERRERO ROCHER 12 PIECE                      ",5.09,"Grocery"
980000781,"TIC TAC FRESHMINTS 4PK                       ",3.99,"Grocery"
980000783,"TIC TAC ORANGE 4PK                           ",3.99,"Grocery"
980000787,"TIC TAC WINTERGREEN 4PK                      ",3.99,"Grocery"
980012301,"FERRERO ROCHER 3 PC                          ",1.69,"Grocery"
980080004,"NUTELLA AND GO 4PK                           ",6.29,"Grocery"
980080005,"NUTELLA AND GO FLOORSTAND                    ",3.19,"Grocery"
980080005,"NUTELLA AND GO                               ",1.69,"Grocery"
980089500,"NUTELLA HAZELNUT SPREAD                      ",4.49,"Grocery"
980089525,"NUTELLA HAZELNUT SPREAD                      ",8.09,"Grocery"
